season,team,games,mentions_sum,tmei_mean,tmei_median
2008/09,hibernians,1,2,1.5,1.5
2008/09,mogren,1,0,-1.5,-1.5
2009/10,manchester united,48,2431278,3.7178546772278174,3.683578250571487
2009/10,arsenal,50,2614480,3.6576159104432002,3.753764223361345
2009/10,chelsea,46,2298685,3.534311142183771,3.4718700041358437
2009/10,liverpool,44,1945866,3.1607756146309627,3.161523426487223
2009/10,manchester city,38,1334205,2.478528220096167,2.286389339768271
2009/10,everton,38,758147,1.2320454977254787,1.1637744880252419
2009/10,portsmouth,38,743276,1.1195308819973564,0.8656860626901159
2009/10,real valladolid,38,22158,1.109987811520363,1.0935964728635155
2009/10,boulogne,38,22678,1.1080278073010235,1.0937505709660944
2009/10,sunderland,38,707514,1.0825518847595625,0.9779263287399398
2009/10,hannover 96,34,19304,1.054492868790495,1.0382354041068798
2009/10,aston villa,38,659598,1.0062638207029797,0.8238544720702131
2009/10,real madrid,46,716000,0.9726287581174567,1.0040495191788938
2009/10,lorient,38,11962,0.9242292283963308,0.9981412073699005
2009/10,bayer leverkusen,34,25648,0.9197431642901448,0.8740500934245475
2009/10,fulham,38,559677,0.8281019492497833,0.641160171212725
2009/10,real zaragoza,38,27924,0.8256984904097429,0.833499978891461
2009/10,monaco,38,34885,0.6920179761822508,0.68811517004611
2009/10,rudar,1,10,0.6563655974298077,0.6563655974298077
2009/10,panathinaikos,4,1025,0.577429014030004,0.8419821937005222
2009/10,parma,38,23252,0.523736999769936,0.5182990466365952
2009/10,livorno,38,19288,0.4690443460034032,0.4931657612908253
2009/10,burnley,38,397861,0.42713599615749054,0.24552781909725818
2009/10,werder bremen,34,23164,0.39058927321869535,0.43911264355897806
2009/10,villarreal,38,36346,0.3738374969875278,0.37765102284820196
2009/10,bologna,38,1858,0.31353439137020106,0.235563004575093
2009/10,ac milan,46,290217,0.31014940457379714,0.26129641880827
2009/10,olympique marseille,44,490,0.29678339921639246,0.418713901735062
2009/10,fiorentina,48,100745,0.26321820350326247,0.23106080549480085
2009/10,inter milan,51,262381,0.2527124069740236,0.21137493550418796
2009/10,sivasspor,2,16,0.21805641472016463,0.21805641472016463
2009/10,rangers,6,38495,0.17604364416344218,0.15024552154065812
2009/10,bordeaux,48,145178,0.15691711863642058,0.17007225700109319
2009/10,napoli,38,35540,0.15302506643504674,0.11385187599868446
2009/10,lille,38,15128,0.15292290491365512,0.17181224514399024
2009/10,nice,38,60114,0.08337733834320446,0.10055724034612429
2009/10,roma,38,129211,0.07554592173753372,0.06328819814165329
2009/10,sevilla fc,46,468,0.06895479579159733,0.7119720972105579
2009/10,borussia dortmund,34,4854,0.044923183421884845,0.03447854356280233
2009/10,rhyl,2,4,0.04017927171725372,0.04017927171725372
2009/10,blackburn rovers,38,69300,0.03772459897887973,-0.02863585884571744
2009/10,palermo,38,13860,0.027144079367913385,-0.015156913925486432
2009/10,montpellier,38,414,0.024906407825870964,0.16525160082814033
2009/10,maccabi haifa,12,220,0.022901066989056532,-0.074753134685178
2009/10,twente,2,52,0.012701544191117686,0.012701544191117686
2009/10,juventus,44,124175,-0.003651010754856845,-0.037008465824938275
2009/10,salzburg,6,30,-0.026503503511290424,0.13968300082440038
2009/10,hoffenheim,34,6444,-0.0363171509987703,0.15317087455028994
2009/10,lazio,38,17223,-0.0484632207014104,-0.038326914884013075
2009/10,stuttgart,44,48619,-0.09007100980695265,-0.06868991738239917
2009/10,wolfsburg,40,62807,-0.09087932547284432,-0.004270372139430795
2009/10,rubin kazan,6,978,-0.12270692225592283,-0.11339460048769126
2009/10,celtic,4,13221,-0.13226242755149126,-0.14589652702487463
2009/10,sampdoria,38,16144,-0.1609633753215831,-0.22663647497612627
2009/10,porto,8,10675,-0.16645806573194732,-0.1625677860906824
2009/10,birmingham city,38,73920,-0.17105881284765032,-0.17975695278205087
2009/10,hull city,38,152223,-0.21737226282998656,-0.2566704132614344
2009/10,toulouse,38,16914,-0.22445942292017868,-0.22959535253286562
2009/10,fc barcelona,50,726,-0.2420176976317041,-0.25147461268304083
2009/10,atalanta,38,3424,-0.2617582072841806,-0.267313699111266
2009/10,bohemians,2,2,-0.2626889565531008,-0.2626889565531008
2009/10,psg,38,8998,-0.276554780703674,-0.2803897950269655
2009/10,ventspils,6,32,-0.2846237497634963,-0.2880010719112095
2009/10,az,6,2483,-0.2930451626934567,-0.2947441334513356
2009/10,west ham united,38,28857,-0.30116922092928755,-0.3115334479223969
2009/10,apoel,12,1636,-0.31262694960598736,-0.3548291368928027
2009/10,valenciennes,38,1242,-0.31315737680202677,-0.3476606815530313
2009/10,tottenham hotspur,38,72044,-0.31338643876838507,-0.2944271821900062
2009/10,auxerre,38,2916,-0.3218759964033986,-0.3411539341898903
2009/10,lens,38,47590,-0.33733380054102746,-0.3588816876886517
2009/10,zrinjski,2,10,-0.3495097304965271,-0.3495097304965271
2009/10,stoke city,38,81530,-0.3503139965967101,-0.3452938840906775
2009/10,shakhtar donetsk,2,40,-0.3509173181809617,-0.3509173181809617
2009/10,nancy,38,6392,-0.36216368429450074,-0.359731494315217
2009/10,levski sofia,6,20,-0.36782884260151644,-0.2880010719112095
2009/10,kalmar,2,8,-0.38502082149827954,-0.38502082149827954
2009/10,slovan bratislava,4,40,-0.39438653018980324,-0.270302634129946
2009/10,aktobe,4,12,-0.40774272794667,-0.2880010719112095
2009/10,bate,4,12,-0.40774272794667,-0.2880010719112095
2009/10,maribor,4,12,-0.40774272794667,-0.2880010719112095
2009/10,dinamo zagreb,4,24,-0.42451117024050034,-0.31035899496965
2009/10,wolverhampton wanderers,38,9889,-0.42651058572794137,-0.5259057299384645
2009/10,le mans,38,2176,-0.4383017379507677,-0.45188619414051845
2009/10,sheriff,6,48,-0.4444943961692928,-0.5269901674566156
2009/10,udinese,38,13240,-0.4470507552153368,-0.4326730729946918
2009/10,debrecen,12,1639,-0.4855873653534007,-0.5476142002239599
2009/10,wigan athletic,38,20154,-0.5168743012505789,-0.5719862774722624
2009/10,bolton wanderers,38,27216,-0.517730895510101,-0.4956499823552467
2009/10,ekranas,2,4,-0.5274843839821304,-0.5274843839821304
2009/10,f91 dudelange,2,4,-0.5274843839821304,-0.5274843839821304
2009/10,pyunik,2,4,-0.5274843839821304,-0.5274843839821304
2009/10,tirana,2,4,-0.5274843839821304,-0.5274843839821304
2009/10,wit georgia,2,4,-0.5274843839821304,-0.5274843839821304
2009/10,partizan,4,24,-0.5437157515659065,-0.5599471191496825
2009/10,eintracht frankfurt,34,544,-0.5460425647943218,-0.5435830353463295
2009/10,fc unirea urziceni,6,4,-0.5925612252226109,-0.7669676960530514
2009/10,olympique lyonnais,52,130,-0.5948610822624052,-0.7669676960530514
2009/10,racing santander,38,7398,-0.5989579022250529,-0.5537520091659629
2009/10,mogren,3,4,-0.6073121546724374,-0.7669676960530514
2009/10,schalke 04,34,276,-0.6317312219791007,-0.548296675486194
2009/10,bochum,34,1804,-0.694108881902098,-0.7063517033637394
2009/10,rennes,38,6586,-0.7043666323715095,-0.591775344559466
2009/10,freiburg,34,88,-0.7667545046106725,-0.766638218369375
2009/10,inter turku,2,4,-0.7668029572112132,-0.7668029572112132
2009/10,almería,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,athletic club bilbao,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,atlético madrid,46,0,-0.7669676960530514,-0.7669676960530514
2009/10,bakı,4,0,-0.7669676960530514,-0.7669676960530514
2009/10,bari 1908,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,bayern münchen,47,0,-0.7669676960530514,-0.7669676960530514
2009/10,beşiktaş,6,0,-0.7669676960530514,-0.7669676960530514
2009/10,birkirkara,1,0,-0.7669676960530514,-0.7669676960530514
2009/10,borussia m'gladbach,34,0,-0.7669676960530514,-0.7669676960530514
2009/10,ca osasuna,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,cd tenerife,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,cska moskva,10,0,-0.7669676960530514,-0.7669676960530514
2009/10,dinamo moskva,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,dynamo kyiv,6,0,-0.7669676960530514,-0.7669676960530514
2009/10,eb - streymur,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,fc santa coloma,1,0,-0.7669676960530514,-0.7669676960530514
2009/10,fh,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,getafe cf,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,glentoran,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,grenoble foot 38,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,hamburger sv,34,0,-0.7669676960530514,-0.7669676960530514
2009/10,hertha bsc,34,0,-0.7669676960530514,-0.7669676960530514
2009/10,hibernians,1,0,-0.7669676960530514,-0.7669676960530514
2009/10,köln,34,0,-0.7669676960530514,-0.7669676960530514
2009/10,københavn,6,0,-0.7669676960530514,-0.7669676960530514
2009/10,mainz 05,34,0,-0.7669676960530514,-0.7669676960530514
2009/10,makedonija gjp,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,málaga cf,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,nürnberg,34,0,-0.7669676960530514,-0.7669676960530514
2009/10,olympiakos piraeus,12,0,-0.7669676960530514,-0.7669676960530514
2009/10,politehnica timişoara,4,0,-0.7669676960530514,-0.7669676960530514
2009/10,rcd espanyol,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,rcd mallorca,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,robur siena,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,rsc anderlecht,4,0,-0.7669676960530514,-0.7669676960530514
2009/10,saint-étienne,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,sant julià,4,0,-0.7669676960530514,-0.7669676960530514
2009/10,slavia praha,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,sparta praha,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,sporting cp,4,0,-0.7669676960530514,-0.7669676960530514
2009/10,sporting gijón,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,stabæk,4,0,-0.7669676960530514,-0.7669676960530514
2009/10,standard liège,6,0,-0.7669676960530514,-0.7669676960530514
2009/10,tallinna fc levadia,4,0,-0.7669676960530514,-0.7669676960530514
2009/10,tre fiori,3,0,-0.7669676960530514,-0.7669676960530514
2009/10,valencia cf,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,wisła kraków,2,0,-0.7669676960530514,-0.7669676960530514
2009/10,xerez cd,38,0,-0.7669676960530514,-0.7669676960530514
2009/10,zürich,10,0,-0.7669676960530514,-0.7669676960530514
2009/10,catania,38,1568,-0.7756270631853387,-0.7893846194638262
2009/10,sochaux,38,2696,-0.807012148963134,-0.5884416619263271
2009/10,genoa,38,7002,-0.8117699382402952,-0.804299461225026
2009/10,cagliari,38,1173,-0.8531894881755095,-0.7524483093925166
2009/10,chievo,38,1664,-1.1707789928672818,-1.257151134378547
2009/10,deportivo la coruña,38,50,-1.3447506910123848,-1.6451978483912382
2010/11,liverpool,38,2235900,4.017548032863233,4.372263858445601
2010/11,manchester united,51,2672535,3.9149987027886803,4.08381349721568
2010/11,arsenal,46,2300821,3.4296607387031424,3.5567292958203423
2010/11,chelsea,48,2213256,3.2668409699768546,3.3137321080367212
2010/11,manchester city,38,1735122,3.2552170159574323,3.3749526701663273
2010/11,f91 dudelange,1,8,1.3758147154625304,1.3758147154625304
2010/11,aston villa,38,797499,1.268856240998371,1.3737217798028807
2010/11,cesena,38,12516,1.0979553409232008,1.1452799533047338
2010/11,omonia nicosia,4,16,1.0272446790527154,1.0272446790527154
2010/11,everton,38,635371,0.9575943016234015,0.9771818571186388
2010/11,valletta,1,12,0.9465141271867039,0.9465141271867039
2010/11,sunderland,38,662948,0.9295965154814008,0.8904201903801735
2010/11,bayer leverkusen,34,13833,0.9189538197828673,0.9341412357689949
2010/11,parma,38,15990,0.81076202982743,0.7564262442504343
2010/11,fulham,38,590639,0.8056023581709887,0.8174928600576938
2010/11,real zaragoza,38,19237,0.7114592982933534,0.5984222336136327
2010/11,hamburger sv,34,68,0.6917666571031603,0.6917666571031603
2010/11,real madrid,50,599343,0.6289700366898786,0.6197187795280962
2010/11,blackpool,38,507513,0.6277098063332207,0.5961971918967655
2010/11,rosenborg,6,34,0.5975680432885683,0.8006124606800302
2010/11,auxerre,46,21522,0.5324845882096857,0.5062785432012187
2010/11,bordeaux,38,25703,0.4715950122917146,0.4929822384948289
2010/11,lorient,38,21906,0.4696129509377995,0.596811601735656
2010/11,inter milan,48,362836,0.4475899218378148,0.508904587419845
2010/11,olympique lyonnais,46,90,0.3892285205257044,0.41520892091072503
2010/11,rubin kazan,6,184,0.3842529399169666,0.38002436081481217
2010/11,zenit,4,186,0.36295260671119955,0.36301379179830595
2010/11,west ham united,38,22330,0.344431924909431,0.30000438289214987
2010/11,twente,6,6262,0.3390436331401277,0.250881765627779
2010/11,rennes,38,24181,0.32238312350583415,0.3215784370864949
2010/11,rangers,6,41993,0.3217438218972566,0.30577056726862106
2010/11,monaco,38,31980,0.30015534132106986,0.310739650320034
2010/11,tre fiori,2,8,0.2979626093311539,0.2979626093311539
2010/11,nice,38,82879,0.28179055246949664,0.3056093080989507
2010/11,benfica,6,7272,0.26913952594273044,0.30365861654857734
2010/11,schalke 04,46,1314,0.2410930635626311,0.15417443225840755
2010/11,sochaux,38,1244,0.19922686744202453,0.0920301303969866
2010/11,newcastle united,38,78310,0.1711548427008031,0.17722579736110072
2010/11,werder bremen,42,84537,0.16555595790436742,0.16162202518032026
2010/11,shakhtar donetsk,10,14460,0.1643572245766533,0.03666431400973086
2010/11,real sociedad,38,5481,0.15024240649818763,0.15884297418321247
2010/11,ac milan,46,183638,0.1307390901329429,0.1081570858192458
2010/11,bursaspor,6,4640,0.10570213836462798,0.00856635731967581
2010/11,young boys,4,1122,0.10129668793316943,0.19979282309841087
2010/11,juventus,38,163686,0.10039865333309106,0.11199499364672277
2010/11,partizan,12,3568,0.05531458560725363,-0.32810954867128606
2010/11,lazio,38,55341,0.02521475600607047,0.011525039424020625
2010/11,bohemians,2,20,0.014209839437121924,0.014209839437121924
2010/11,villarreal,38,31400,0.0028471745954844526,0.041910422363349326
2010/11,freiburg,34,735,-0.029944269802543024,0.1340434748448049
2010/11,paok,2,8,-0.036561083872903355,-0.036561083872903355
2010/11,brest,38,152,-0.04382100803874267,-0.04382100803874267
2010/11,stoke city,38,64141,-0.05294030220626098,-0.028438184990660892
2010/11,fc barcelona,51,810,-0.05339238952726269,0.05581218109031266
2010/11,nancy,38,2232,-0.0575803941365314,-0.040196743796059586
2010/11,celtic,2,5978,-0.07589485259901267,-0.07589485259901267
2010/11,olympique marseille,46,260,-0.09263424008783479,-0.09261691969479907
2010/11,panathinaikos,6,2124,-0.11029356557360835,-0.11312484353645091
2010/11,udinese,38,9250,-0.13051061642551676,-0.10834192212474031
2010/11,psg,38,11434,-0.15142475157427698,-0.1384413512243862
2010/11,brescia,38,7990,-0.15388755682687857,-0.15442398602064494
2010/11,wolfsburg,34,57896,-0.17332378706797713,-0.18074237371089144
