team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
BVB 09 Borussia Dortmund,Borussia Dortmund,2024/2025,Germany,34,17,17,0,17,11,6,6,3,3,11,3,8,1.68,2.12,1.24,4,2,11,4,71,51,20,122,63,59,44,27,19,32,25,-5,43,35,57,60,80,48,7,5,2,23,11,12,5,1,4,19,11,8,191,109,82,77,35,42,59,60,58,450,231,219,196,107,89,254,124,130,319,175,144,30,20,10,24,9,15,6,11,-5,15,10,5,9,4,5,10,3,7,1.59,2,1.18,3.59,3.71,3.47,2.09,2.59,1.59,1.5,1.12,1.88,1.59,1.71,1.47,0.88,1.18,0.59,0.71,0.53,0.88,33,32,24,17,10,6,17,16,13,9,5,3,16,16,11,8,5,3,1,2,10,17,24,28,0,1,4,8,12,14,1,1,6,9,12,14,97,94,71,50,29,18,100,94,76,53,29,18,94,94,65,47,29,18,3,6,29,50,71,82,0,6,24,47,71,82,6,6,35,53,71,82,27,16,8,14,8,4,13,8,4,79,47,24,82,47,24,76,47,24,50,65,35,25,21,29,12,68,65,71,15,6,24,56,65,47,19,11,8,56,65,47,14,4,10,41,24,59,8,5,3,24,29,18,44,59,29,26,24,29,29,18,41,5.62,6.41,4.82,2.26,2.06,2.47,91,76,56,50,35,24,15,12,1.64,1.74,1.54,1.32,1.05,1.60,118,4,4,7,7,12,4,8,17,8,3,4,9,5,6,3,7,6,8,18,18,18,32,18,47,6
1. FSV Mainz 05,Mainz 05,2024/2025,Germany,34,17,17,0,14,6,8,10,8,2,10,3,7,1.53,1.53,1.53,6,7,6,6,55,43,12,98,42,56,24,31,18,25,6,6,56,64,49,71,85,61,9,5,4,19,10,9,8,3,5,18,10,8,165,100,65,76,40,36,50,52,48,391,202,189,182,96,86,209,106,103,400,200,200,27,12,15,22,8,14,5,4,1,16,8,8,7,5,2,11,4,7,1.62,1.71,1.53,2.88,2.47,3.29,1.62,1.41,1.82,1.26,1.06,1.47,1.44,1.18,1.71,0.79,0.71,0.88,0.65,0.47,0.82,32,30,18,11,4,2,16,16,6,4,0,0,16,14,12,7,4,2,2,4,16,23,30,32,1,1,11,13,17,17,1,3,5,10,13,15,94,88,53,32,12,6,94,94,35,24,0,0,94,82,71,41,24,12,6,12,47,68,88,94,6,6,65,76,100,100,6,18,29,59,76,88,28,15,6,13,5,2,15,10,4,82,44,18,76,29,12,88,59,24,41,35,47,2,26,29,24,56,59,53,24,18,29,53,59,47,18,10,8,53,59,47,15,8,7,44,47,41,7,3,4,21,18,24,47,47,47,21,29,12,32,24,41,4.85,5.88,3.82,2.24,2.35,2.12,82,79,59,56,53,32,18,12,1.45,1.54,1.36,1.48,1.25,1.72,71,3,6,6,8,7,10,6,5,4,6,6,3,6,3,5,1,5,8,29,47,12,29,18,41,9
SV Werder Bremen,Werder Bremen,2024/2025,Germany,34,17,17,0,14,5,9,9,6,3,11,6,5,1.5,1.24,1.76,8,12,3,8,54,57,-3,111,47,64,21,33,26,31,-5,2,57,73,46,54,59,49,10,6,4,18,8,10,9,6,3,16,8,8,161,87,74,77,39,38,50,50,49,391,215,176,172,82,90,219,133,86,335,159,176,26,11,15,31,13,18,-5,-2,-3,9,4,5,14,8,6,11,5,6,1.21,1.18,1.24,3.26,2.76,3.76,1.59,1.24,1.94,1.68,1.53,1.82,1.68,1.41,1.94,0.76,0.65,0.88,0.91,0.76,1.06,31,26,22,16,10,5,14,11,9,7,4,2,17,15,13,9,6,3,3,8,12,18,24,29,3,6,8,10,13,15,0,2,4,8,11,14,91,76,65,47,29,15,82,65,53,41,24,12,100,88,76,53,35,18,9,24,35,53,71,85,18,35,47,59,76,88,0,12,24,47,65,82,27,17,8,12,7,3,15,10,5,79,50,24,71,41,18,88,59,29,41,29,53,-7,29,35,24,53,47,59,26,35,18,47,47,47,14,8,6,41,47,35,15,9,6,44,53,35,12,5,7,35,29,41,26,24,29,41,47,35,32,29,35,4.74,5.12,4.35,2.26,2.29,2.24,82,74,62,53,35,24,21,12,1.42,1.49,1.34,1.51,1.40,1.63,79,6,6,6,5,4,6,4,7,10,5,8,9,5,8,5,4,5,8,26,35,18,32,35,29,3
FC Bayern München,Bayern München,2024/2025,Germany,34,17,17,0,25,14,11,7,2,5,2,1,1,2.41,2.59,2.24,1,1,1,1,99,32,67,131,69,62,53,46,16,16,37,30,31,29,33,96,96,96,16,9,7,18,8,10,1,0,1,26,15,11,220,114,106,50,22,28,68,69,67,577,342,235,298,165,133,279,177,102,295,140,155,41,22,19,13,5,8,28,17,11,19,11,8,12,6,6,3,0,3,2.03,2.29,1.76,3.85,4.06,3.65,2.91,3.12,2.71,0.94,0.94,0.94,1.59,1.59,1.59,1.21,1.29,1.12,0.38,0.29,0.47,33,31,26,20,13,6,17,17,14,10,7,3,16,14,12,10,6,3,1,3,8,14,21,28,0,0,3,7,10,14,1,3,5,7,11,14,97,91,76,59,38,18,100,100,82,59,41,18,94,82,71,59,35,18,3,9,24,41,62,82,0,0,18,41,59,82,6,18,29,41,65,82,27,17,7,13,9,4,14,8,3,79,50,21,76,53,24,82,47,18,74,82,65,0,47,53,41,53,47,59,3,0,6,76,88,65,23,12,11,68,71,65,10,4,6,29,24,35,8,5,3,24,29,18,56,65,47,35,35,35,9,0,18,6.47,6.71,6.24,1.47,1.29,1.65,74,68,47,38,32,24,18,12,2.20,2.50,1.90,0.88,0.87,0.89,97,4,14,7,10,8,15,14,8,19,1,1,5,5,4,3,2,2,9,21,12,29,6,6,6,6
Borussia VfL Mönchengladbach,Borussia M'gladbach,2024/2025,Germany,34,17,17,0,13,7,6,6,3,3,15,7,8,1.32,1.41,1.24,10,8,10,10,55,57,-2,112,55,57,29,26,26,31,3,-5,56,53,59,54,59,49,7,4,3,22,10,12,6,3,3,17,9,8,158,84,74,55,29,26,50,50,50,402,214,188,198,96,102,204,118,86,339,159,180,25,15,10,22,9,13,3,6,-3,10,5,5,14,10,4,10,2,8,1.29,1.47,1.12,3.29,3.24,3.35,1.62,1.71,1.53,1.68,1.53,1.82,1.38,1.41,1.35,0.74,0.88,0.59,0.65,0.53,0.76,33,29,21,13,9,4,17,13,10,7,5,1,16,16,11,6,4,3,1,5,13,21,25,30,0,4,7,10,12,16,1,1,6,11,13,14,97,85,62,38,26,12,100,76,59,41,29,6,94,94,65,35,24,18,3,15,38,62,74,88,0,24,41,59,71,94,6,6,35,65,76,82,25,14,5,11,9,3,14,5,2,74,41,15,65,53,18,82,29,12,38,41,35,8,21,24,18,65,59,71,18,18,18,50,53,47,17,9,8,50,53,47,18,8,10,53,47,59,8,6,2,24,35,12,29,29,29,41,59,24,29,12,47,4.65,4.94,4.35,1.62,1.71,1.53,82,71,62,53,47,35,28,15,1.43,1.47,1.40,1.89,1.81,1.97,94,5,5,9,2,5,7,7,6,9,1,4,4,7,10,6,9,8,8,18,18,18,44,41,47,9
Bayer 04 Leverkusen,Bayer Leverkusen,2024/2025,Germany,34,17,17,0,19,10,9,12,4,8,3,3,0,2.03,2,2.06,2,4,2,2,72,43,29,115,58,57,36,36,22,21,14,15,42,42,42,71,70,73,9,5,4,24,11,13,5,4,1,23,10,13,216,130,86,62,30,32,59,64,55,456,261,195,227,130,97,229,131,98,324,154,170,40,19,21,21,12,9,19,7,12,17,7,10,11,7,4,6,3,3,1.82,1.65,2,3.38,3.41,3.35,2.12,2.12,2.12,1.26,1.29,1.24,1.79,1.82,1.76,1.18,1.12,1.24,0.62,0.71,0.53,30,28,21,18,10,5,14,13,11,9,5,4,16,15,10,9,5,1,4,6,13,16,24,29,3,4,6,8,12,13,1,2,7,8,12,16,88,82,62,53,29,15,82,76,65,53,29,24,94,88,59,53,29,6,12,18,38,47,71,85,18,24,35,47,71,76,6,12,41,47,71,94,28,19,9,13,10,5,15,9,4,82,56,26,76,59,29,88,53,24,56,59,53,-1,26,29,24,71,65,76,15,24,6,68,59,76,17,9,8,50,53,47,10,5,5,29,29,29,13,7,6,38,41,35,50,41,59,32,41,24,18,18,18,6.35,7.65,5.06,1.82,1.76,1.88,74,68,56,56,44,32,21,12,1.77,2.04,1.50,1.19,1.05,1.34,100,7,11,8,10,7,6,4,9,10,3,3,3,6,8,3,4,6,7,35,24,47,9,18,0,12
SC Freiburg,Freiburg,2024/2025,Germany,34,17,17,0,16,9,7,7,3,4,11,5,6,1.62,1.76,1.47,5,6,8,5,49,53,-4,102,58,44,32,17,26,27,6,-10,63,48,90,58,59,57,11,4,7,19,12,7,8,3,5,18,10,8,132,73,59,56,34,22,49,50,47,370,190,180,177,97,80,193,93,100,319,164,155,21,16,5,21,10,11,0,6,-6,9,7,2,16,6,10,9,4,5,1.26,1.59,0.94,3,3.41,2.59,1.44,1.88,1,1.56,1.53,1.59,1.24,1.53,0.94,0.62,0.94,0.29,0.62,0.59,0.65,30,25,23,16,7,1,15,14,14,10,5,0,15,11,9,6,2,1,4,9,11,18,27,33,2,3,3,7,12,17,2,6,8,11,15,16,88,74,68,47,21,3,88,82,82,59,29,0,88,65,53,35,12,6,12,26,32,53,79,97,12,18,18,41,71,100,12,35,47,65,88,94,25,13,3,15,8,2,10,5,1,74,38,9,88,47,12,59,29,6,47,53,41,17,32,24,41,56,71,41,24,18,29,53,59,47,18,9,9,53,53,53,18,6,12,53,35,71,7,4,3,21,24,18,26,41,12,47,35,59,26,24,29,3.88,4.29,3.47,1.65,2,1.29,68,53,41,28,21,12,3,3,1.37,1.40,1.33,1.47,1.39,1.56,97,0,3,6,7,8,10,7,4,4,3,4,2,4,10,4,8,12,6,21,18,24,32,29,35,3
VfL Wolfsburg,Wolfsburg,2024/2025,Germany,34,17,17,0,11,3,8,10,7,3,13,7,6,1.26,0.94,1.59,11,14,4,11,56,54,2,110,57,53,27,29,30,24,-3,5,55,57,53,57,51,64,6,2,4,23,13,10,7,3,4,15,5,10,165,86,79,81,36,45,46,50,42,411,214,197,176,91,85,235,123,112,341,161,180,21,5,16,24,16,8,-3,-11,8,8,1,7,13,7,6,13,9,4,1.09,0.59,1.59,3.24,3.35,3.12,1.65,1.59,1.71,1.59,1.76,1.41,1.32,1.24,1.41,0.62,0.29,0.94,0.71,0.94,0.47,32,25,20,17,9,5,16,13,10,9,5,3,16,12,10,8,4,2,2,9,14,17,25,29,1,4,7,8,12,14,1,5,7,9,13,15,94,74,59,50,26,15,94,76,59,53,29,18,94,71,59,47,24,12,6,26,41,50,74,85,6,24,41,47,71,82,6,29,41,53,76,88,24,13,6,13,6,2,11,7,4,71,38,18,76,35,12,65,41,24,32,18,47,-8,18,12,24,68,76,59,21,18,24,44,29,59,17,5,12,50,29,71,20,12,8,59,71,47,7,4,3,21,24,18,24,6,41,38,41,35,38,53,24,4.85,5.06,4.65,2.38,2.12,2.65,91,88,68,59,44,35,21,6,1.44,1.53,1.35,1.58,1.45,1.71,112,8,4,5,2,7,6,3,7,14,1,7,5,9,6,4,8,5,9,29,41,18,38,41,35,3
Eintracht Frankfurt,Eintracht Frankfurt,2024/2025,Germany,34,17,17,0,17,10,7,9,4,5,8,3,5,1.76,2,1.53,3,3,7,3,68,46,22,114,63,51,41,27,22,24,19,3,45,37,57,67,70,64,9,6,3,22,11,11,4,0,4,22,12,10,168,91,77,54,21,33,50,52,47,455,259,196,217,117,100,238,142,96,342,174,168,34,20,14,18,11,7,16,9,7,17,9,8,12,5,7,5,3,2,1.85,1.88,1.82,3.35,3.71,3,2,2.41,1.59,1.35,1.29,1.41,1.53,1.82,1.24,1,1.18,0.82,0.53,0.65,0.41,33,30,22,17,6,3,17,15,12,10,4,2,16,15,10,7,2,1,1,4,12,17,28,31,0,2,5,7,13,15,1,2,7,10,15,16,97,88,65,50,18,9,100,88,71,59,24,12,94,88,59,41,12,6,3,12,35,50,82,91,0,12,29,41,76,88,6,12,41,59,88,94,29,15,4,14,9,4,15,6,0,85,44,12,82,53,24,88,35,0,50,59,41,13,26,35,18,65,65,65,12,0,24,65,71,59,21,11,10,62,65,59,8,4,4,24,24,24,10,5,5,29,29,29,50,53,47,35,29,41,15,18,12,4.94,5.35,4.53,1.59,1.24,1.94,82,76,71,59,53,28,18,9,1.61,1.81,1.42,1.58,1.42,1.74,103,3,8,9,9,7,6,10,9,7,1,4,8,4,3,7,5,7,7,26,24,29,24,18,29,6
Rasen Ballsport Leipzig,RB Leipzig,2024/2025,Germany,34,17,17,0,13,8,5,12,6,6,9,3,6,1.5,1.76,1.24,7,5,9,7,53,48,5,101,56,45,33,20,23,25,10,-5,58,46,76,64,67,61,14,6,8,18,11,7,9,2,7,17,9,8,161,104,57,74,32,42,52,55,49,383,203,180,186,108,78,197,95,102,363,163,200,31,17,14,21,13,8,10,4,6,14,8,6,12,4,8,8,5,3,1.59,1.65,1.53,2.97,3.29,2.65,1.56,1.94,1.18,1.41,1.35,1.47,1.53,1.76,1.29,0.91,1,0.82,0.62,0.76,0.47,27,24,19,15,9,6,15,14,11,9,4,3,12,10,8,6,5,3,7,10,15,19,25,28,2,3,6,8,13,14,5,7,9,11,12,14,79,71,56,44,26,18,88,82,65,53,24,18,71,59,47,35,29,18,21,29,44,56,74,82,12,18,35,47,76,82,29,41,53,65,71,82,24,17,10,14,10,6,10,7,4,71,50,29,82,59,35,59,41,24,38,47,29,14,41,35,47,53,65,41,26,12,41,50,53,47,20,8,12,59,47,71,14,6,8,41,35,47,10,6,4,29,35,24,41,47,35,35,24,47,24,29,18,4.74,6.12,3.35,2.18,1.88,2.47,82,76,68,53,44,38,28,15,1.40,1.52,1.28,1.56,1.40,1.72,91,5,11,6,4,10,6,3,3,5,4,6,5,4,5,8,6,5,5,35,35,35,26,18,35,15
