team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
The New Saints FC,The New Saints,2024/2025,Wales,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,0,10,10,55,5,8,-3,13,6,7,4,1,2,6,2,-5,72,45,180,45,90,30,1,1,0,2,1,1,1,0,1,2,1,1,9,7,2,8,5,3,42,47,38,29,18,11,18,11,7,11,7,4,47,24,23,4,3,1,4,1,3,0,2,-2,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,3.25,3,3.5,1.25,2,0.5,2,1,3,2,2,2,1,1.5,0.5,1,0.5,1.5,4,4,3,1,1,0,2,2,2,0,0,0,2,2,1,1,1,0,0,0,1,3,3,4,0,0,0,2,2,2,0,0,1,1,1,2,100,100,75,25,25,0,100,100,100,0,0,0,100,100,50,50,50,0,0,0,25,75,75,100,0,0,0,100,100,100,0,0,50,50,50,100,4,2,2,2,1,1,2,1,1,100,50,50,100,50,50,100,50,50,25,50,0,55,25,50,0,50,50,50,25,0,50,50,50,50,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,0,0,0,50,50,50,2.25,3.50,1.00,2,2.5,1.50,25,25,25,25,25,25,0,0,0.89,0.78,0.95,1.43,0.97,1.66,125,1,0,1,1,1,0,0,0,1,0,1,2,0,1,1,2,1,0,25,0,50,50,50,50,0
Tallinna FC Flora,Tallinna FC Flora,2024/2025,Estonia,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,18,18,78,1,7,-6,8,5,3,0,1,5,2,-5,-1,180,0,90,26,18,45,0,0,0,1,0,1,1,1,0,1,0,1,2,0,2,2,2,0,32,30,34,9,0,9,4,0,4,5,0,5,13,8,5,1,0,1,3,3,0,-2,-3,1,1,0,1,0,0,0,1,1,0,1.5,0,3,4,5,3,0.5,0,1,3.5,5,2,2,3,1,0.5,0,1,1.5,3,0,2,2,2,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,1,1,100,100,100,50,50,0,100,100,100,100,100,0,100,100,100,0,0,0,0,0,0,50,50,100,0,0,0,0,0,100,0,0,0,100,100,100,2,1,1,1,1,1,1,0,0,100,50,50,100,100,100,100,0,0,0,0,0,-72,0,0,0,50,0,100,50,100,0,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,0,0,0,50,0,100,0,0,0,50,100,0,1.00,0.00,2.00,1,2,0.00,100,100,50,50,50,50,0,0,0.72,0.34,1.10,2.04,1.64,2.43,150,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,100,100,100,0
SC Fotbal Club FCSB SA,FCSB,2024/2025,Romania,6,3,3,0,3,1,2,2,1,1,1,1,0,1.83,1.33,2.33,0,23,23,28,16,6,10,22,11,11,7,9,4,2,3,7,34,39,30,90,68,134,2,1,1,4,2,2,0,0,0,4,1,3,31,18,13,20,7,13,60,55,65,98,61,37,34,19,15,64,42,22,78,39,39,8,3,5,3,3,0,5,0,5,2,1,1,3,1,2,1,1,0,1.5,1.33,1.67,3.67,3.67,3.67,2.67,2.33,3,1,1.33,0.67,1.83,2,1.67,1.33,1,1.67,0.5,1,0,6,5,3,3,2,1,3,3,2,2,1,0,3,2,1,1,1,1,0,1,3,3,4,5,0,0,1,1,2,3,0,1,2,2,2,2,100,83,50,50,33,17,100,100,67,67,33,0,100,67,33,33,33,33,0,17,50,50,67,83,0,0,33,33,67,100,0,33,67,67,67,67,3,3,3,2,2,2,1,1,1,50,50,50,67,67,67,33,33,33,50,33,67,-23,33,33,33,67,67,67,0,0,0,67,33,100,5,2,3,83,67,100,4,2,2,67,67,67,0,0,0,0,0,0,33,33,33,50,33,67,17,33,0,5.17,6.00,4.33,3.33,2.33,4.33,67,50,33,33,17,17,0,0,1.90,2.24,1.56,0.97,0.92,1.02,183,1,2,3,2,0,1,2,3,2,0,1,1,1,0,0,0,2,1,33,33,33,17,33,0,0
Lincoln Red Imps FC,Lincoln Red Imps,2024/2025,Gibraltar,4,2,2,0,1,0,1,0,0,0,3,2,1,0.75,0,1.5,0,25,25,62,1,8,-7,9,3,6,0,1,3,5,-3,-4,360,0,180,45,60,36,1,0,1,0,0,0,3,2,1,1,0,1,7,4,3,14,7,7,38,35,42,22,12,10,11,8,3,11,4,7,52,24,28,1,0,1,4,1,3,-3,-1,-2,1,0,1,1,1,0,2,1,1,1,0.5,1.5,2.25,1.5,3,0.25,0,0.5,2,1.5,2.5,1.25,0.5,2,0.25,0,0.5,1,0.5,1.5,4,2,1,1,1,0,2,1,0,0,0,0,2,1,1,1,1,0,0,2,3,3,3,4,0,1,2,2,2,2,0,1,1,1,1,2,100,50,25,25,25,0,100,50,0,0,0,0,100,50,50,50,50,0,0,50,75,75,75,100,0,50,100,100,100,100,0,50,50,50,50,100,3,1,1,1,0,0,2,1,1,75,25,25,50,0,0,100,50,50,25,0,50,-38,25,0,50,0,0,0,75,100,50,25,0,50,2,1,1,50,50,50,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,25,50,0,50,50,50,1.75,2.00,1.50,3.5,3.5,3.50,100,50,50,25,25,25,25,25,0.96,1.11,0.80,2.28,2.13,2.42,25,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,2,1,0,0,0,75,100,50,25
Fenerbahçe,Fenerbahçe,2024/2025,Turkey,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,0,26,26,40,8,7,1,15,5,10,3,5,2,5,1,0,45,60,36,51,90,36,0,0,0,4,2,2,0,0,0,1,1,0,20,13,7,11,5,6,45,45,44,45,26,19,26,13,13,19,13,6,44,26,18,1,0,1,3,1,2,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3.75,2.5,5,2,1.5,2.5,1.75,1,2.5,1,0.5,1.5,0.25,0,0.5,0.75,0.5,1,4,4,3,1,1,1,2,2,1,0,0,0,2,2,2,1,1,1,0,0,1,3,3,3,0,0,1,2,2,2,0,0,0,1,1,1,100,100,75,25,25,25,100,100,50,0,0,0,100,100,100,50,50,50,0,0,25,75,75,75,0,0,50,100,100,100,0,0,0,50,50,50,3,1,0,1,0,0,2,1,0,75,25,0,50,0,0,100,50,0,50,50,50,9,0,0,0,100,100,100,0,0,0,25,50,0,1,1,0,25,50,0,3,2,1,75,100,50,1,0,1,25,0,50,0,0,0,50,50,50,50,50,50,5.00,6.50,3.50,2.75,2.5,3.00,50,25,25,25,25,0,0,0,1.57,1.76,1.39,1.39,1.33,1.46,25,0,0,0,0,2,1,1,2,2,2,1,0,0,0,0,1,0,2,25,50,0,25,0,50,0
PFC Ludogorets 1945 Razgrad,Ludogorets,2024/2025,Bulgaria,6,3,3,0,3,2,1,0,0,0,3,1,2,1.5,2,1,0,28,28,36,9,11,-2,20,15,5,7,2,8,3,-1,-1,60,39,134,49,34,90,1,1,0,3,2,1,2,0,2,3,2,1,17,11,6,17,7,10,47,47,48,67,28,39,25,13,12,42,15,27,99,51,48,6,6,0,5,3,2,1,3,-2,2,2,0,1,0,1,3,1,2,1.17,2,0.33,3.33,5,1.67,1.5,2.33,0.67,1.83,2.67,1,1.83,3,0.67,1,2,0,0.83,1,0.67,6,4,3,2,1,1,3,3,2,2,1,1,3,1,1,0,0,0,0,2,3,4,5,5,0,0,1,1,2,2,0,2,2,3,3,3,100,67,50,33,17,17,100,100,67,67,33,33,100,33,33,0,0,0,0,33,50,67,83,83,0,0,33,33,67,67,0,67,67,100,100,100,5,3,1,3,3,1,2,0,0,83,50,17,100,100,33,67,0,0,50,67,33,5,17,33,0,50,67,33,33,0,67,50,67,33,3,2,1,50,67,33,3,0,3,50,0,100,1,1,0,17,33,0,33,67,0,17,0,33,50,33,67,2.83,3.67,2.00,2.83,2.33,3.33,33,33,33,33,33,17,17,17,1.43,1.35,1.51,1.66,1.47,1.86,67,1,2,2,0,1,1,0,1,1,2,0,0,1,2,0,2,0,0,0,0,0,50,33,67,17
FC Dynamo Kyiv,Dynamo Kyiv,2024/2025,Ukraine,6,3,3,0,3,1,2,2,1,1,1,1,0,1.83,1.33,2.33,0,34,34,29,13,6,7,19,12,7,7,6,5,1,2,5,41,39,45,90,54,273,2,0,2,3,2,1,1,1,0,3,1,2,39,15,24,8,3,5,54,45,62,77,45,32,31,19,12,46,26,20,58,33,25,6,4,2,3,2,1,3,2,1,3,2,1,2,0,2,1,1,0,1.83,2,1.67,3.17,4,2.33,2.17,2.33,2,1,1.67,0.33,1.5,2,1,1,1.33,0.67,0.5,0.67,0.33,6,6,2,1,1,1,3,3,1,1,1,1,3,3,1,0,0,0,0,0,4,5,5,5,0,0,2,2,2,2,0,0,2,3,3,3,100,100,33,17,17,17,100,100,33,33,33,33,100,100,33,0,0,0,0,0,67,83,83,83,0,0,67,67,67,67,0,0,67,100,100,100,5,2,1,3,1,1,2,1,0,83,33,17,100,33,33,67,33,0,50,33,67,-30,33,0,67,50,67,33,17,33,0,50,33,67,3,1,2,50,33,67,2,1,1,33,33,33,2,1,1,33,33,33,50,67,33,33,0,67,17,33,0,6.50,5.00,8.00,1.33,1,1.67,83,83,67,33,33,17,17,17,1.71,1.87,1.49,1.28,1.35,1.18,67,0,1,1,2,2,1,1,0,5,0,1,2,0,1,0,1,0,1,33,33,33,17,33,0,17
Helsingin Jalkapalloklubi,HJK,2024/2025,Finland,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,43,43,73,1,4,-3,5,2,3,1,0,1,3,0,-3,180,90,0,45,90,30,0,0,0,1,1,0,1,0,1,1,1,0,14,5,9,5,3,2,64,65,62,20,8,12,9,2,7,11,6,5,29,17,12,1,1,0,2,1,1,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,2.5,2,3,0.5,1,0,2,1,3,1.5,2,1,0.5,1,0,1,1,1,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,100,100,50,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,0,50,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,2,1,0,1,1,0,1,0,0,100,50,0,100,100,0,100,0,0,0,0,0,75,0,0,0,50,100,0,50,0,100,50,100,0,0,0,0,0,0,0,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,50,100,0,50,0,100,7.00,5.00,9.00,2.5,3,2.00,100,100,100,50,0,0,0,0,1.78,1.30,2.25,1.22,0.87,1.56,100,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,50,100,0,50,0,100,0
FC Dinamo Minsk,Dinamo Minsk,2024/2025,Belarus,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,0,52,52,42,2,2,0,4,1,3,1,1,0,2,1,-1,180,180,180,180,0,90,3,2,1,0,0,0,2,1,1,2,1,1,21,9,12,17,8,9,49,50,49,44,19,25,14,5,9,30,14,16,55,26,29,1,1,0,2,0,2,-1,1,-2,1,1,0,2,1,1,1,0,1,1.25,2,0.5,1,0.5,1.5,0.5,0.5,0.5,0.5,0,1,0.75,0.5,1,0.25,0.5,0,0.5,0,1,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,3,4,4,4,4,1,2,2,2,2,2,0,1,2,2,2,2,75,25,0,0,0,0,50,0,0,0,0,0,100,50,0,0,0,0,25,75,100,100,100,100,50,100,100,100,100,100,0,50,100,100,100,100,2,1,0,1,0,0,1,1,0,50,25,0,50,0,0,50,50,0,50,50,50,50,75,100,50,0,0,0,50,50,50,50,50,50,3,2,1,75,100,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,50,50,25,0,50,5.25,4.50,6.00,4.25,4,4.50,75,50,50,50,25,0,0,0,1.44,1.25,1.64,1.11,0.95,1.27,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,25,50,0,25,0,50,0
Pyunik FC,Pyunik,2024/2025,Armenia,2,1,1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,0,53,53,66,0,1,-1,1,1,0,0,0,1,0,-1,0,0,0,0,180,90,0,1,0,1,0,0,0,2,1,1,0,0,0,5,4,1,5,3,2,45,45,44,11,8,3,5,3,2,6,5,1,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0.5,1,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,50,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,50,0,100,0,0,0,100,100,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,2.50,4.00,1.00,2.5,3,2.00,100,50,50,50,0,0,0,0,0.80,1.12,0.49,1.50,1.81,1.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,100,50,100,0,0
