team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Villarreal CF,Villarreal,2024/2025,Spain,38,19,19,0,20,9,11,10,7,3,8,3,5,1.84,1.79,1.89,5,7,2,5,71,51,20,122,70,52,43,28,27,24,16,4,48,40,61,67,63,71,7,5,2,26,14,12,6,1,5,23,14,9,183,100,83,102,48,54,48,48,47,510,283,227,217,123,94,293,160,133,442,217,225,38,26,12,27,12,15,11,14,-3,14,10,4,14,5,9,10,4,6,1.47,1.84,1.11,3.21,3.68,2.74,1.87,2.26,1.47,1.34,1.42,1.26,1.71,2,1.42,1,1.37,0.63,0.71,0.63,0.79,37,32,25,13,7,6,18,17,14,10,5,5,19,15,11,3,2,1,1,6,13,25,31,32,1,2,5,9,14,14,0,4,8,16,17,18,97,84,66,34,18,16,95,89,74,53,26,26,100,79,58,16,11,5,3,16,34,66,82,84,5,11,26,47,74,74,0,21,42,84,89,95,32,18,11,17,10,8,15,8,3,84,47,29,89,53,42,79,42,16,53,47,58,8,18,26,11,68,74,63,16,5,26,61,74,47,18,11,7,47,58,37,12,3,9,32,16,47,14,7,7,37,37,37,37,53,21,37,26,47,26,21,32,4.82,5.26,4.37,2.68,2.53,2.84,82,76,66,50,32,18,18,16,1.59,1.75,1.42,1.50,1.46,1.55,74,7,4,10,9,11,6,8,2,14,3,9,5,5,8,6,3,3,9,26,37,16,21,16,26,5
FC Barcelona,FC Barcelona,2024/2025,Spain,38,19,19,0,28,14,14,4,1,3,6,4,2,2.32,2.26,2.37,1,3,1,1,102,39,63,141,72,69,52,50,20,19,32,31,34,33,34,87,86,90,13,7,6,23,11,12,2,1,1,28,15,13,265,162,103,67,24,43,69,71,67,632,367,265,290,162,128,342,205,137,368,189,179,46,31,15,18,7,11,28,24,4,18,12,6,14,6,8,6,1,5,1.79,2.21,1.37,3.71,3.79,3.63,2.68,2.74,2.63,1.03,1.05,1,1.68,2,1.37,1.21,1.63,0.79,0.47,0.37,0.58,38,31,27,18,13,9,19,14,13,9,7,5,19,17,14,9,6,4,0,7,11,20,25,29,0,5,6,10,12,14,0,2,5,10,13,15,100,82,71,47,34,24,100,74,68,47,37,26,100,89,74,47,32,21,0,18,29,53,66,76,0,26,32,53,63,74,0,11,26,53,68,79,31,20,8,16,11,6,15,9,2,82,53,21,84,58,32,79,47,11,74,74,74,0,34,37,32,61,58,63,5,5,5,74,79,68,22,13,9,58,68,47,13,4,9,34,21,47,10,5,5,26,26,26,47,63,32,37,32,42,16,5,26,6.97,8.53,5.42,1.76,1.26,2.26,92,82,76,74,63,53,24,16,2.04,2.33,1.75,0.98,0.79,1.17,132,6,12,13,9,11,12,10,11,18,6,4,1,3,6,4,6,3,6,11,5,16,16,21,11,5
Real Madrid CF,Real Madrid,2024/2025,Spain,38,19,19,0,26,16,10,6,1,5,6,2,4,2.21,2.58,1.84,2,1,3,2,78,38,40,116,64,52,45,33,19,19,26,14,44,38,52,90,90,90,15,8,7,21,10,11,2,1,1,26,13,13,243,160,83,66,24,42,60,62,58,580,332,248,287,165,122,293,167,126,323,147,176,35,20,15,18,8,10,17,12,5,19,10,9,12,5,7,7,4,3,1.82,1.84,1.79,3.05,3.37,2.74,2.05,2.37,1.74,1,1,1,1.39,1.47,1.32,0.92,1.05,0.79,0.47,0.42,0.53,38,34,22,10,8,3,19,18,12,8,6,1,19,16,10,2,2,2,0,4,16,28,30,35,0,1,7,11,13,18,0,3,9,17,17,17,100,89,58,26,21,8,100,95,63,42,32,5,100,84,53,11,11,11,0,11,42,74,79,92,0,5,37,58,68,95,0,16,47,89,89,89,28,12,7,14,8,4,14,4,3,74,32,18,74,42,21,74,21,16,68,84,53,0,39,42,37,55,53,58,5,5,5,68,68,68,25,12,13,66,63,68,15,8,7,39,42,37,8,4,4,21,21,21,50,53,47,32,26,37,18,21,16,6.39,8.42,4.37,1.74,1.26,2.21,97,84,61,55,39,34,26,18,1.93,2.21,1.66,1.24,1.06,1.42,97,4,8,5,14,10,7,10,8,12,4,3,1,7,3,8,2,3,7,16,5,26,16,11,21,16
Sevilla FC,Sevilla FC,2024/2025,Spain,38,19,19,0,10,6,4,11,6,5,17,7,10,1.08,1.26,0.89,16,17,13,16,42,55,-13,97,40,57,17,25,23,32,-6,-7,81,101,68,62,74,54,10,5,5,21,10,11,9,4,5,14,9,5,185,99,86,108,61,47,51,53,48,451,241,210,193,95,98,258,146,112,494,250,244,20,9,11,27,8,19,-7,1,-8,7,4,3,19,12,7,12,3,9,1.05,1.26,0.84,2.55,2.11,3,1.11,0.89,1.32,1.45,1.21,1.68,1.24,0.89,1.58,0.53,0.47,0.58,0.71,0.42,1,36,26,15,9,6,4,19,13,5,2,1,0,17,13,10,7,5,4,2,12,23,29,32,34,0,6,14,17,18,19,2,6,9,12,14,15,95,68,39,24,16,11,100,68,26,11,5,0,89,68,53,37,26,21,5,32,61,76,84,89,0,32,74,89,95,100,11,32,47,63,74,79,26,14,5,12,5,0,14,9,5,68,37,13,63,26,0,74,47,26,26,32,21,-2,26,26,26,55,53,58,24,21,26,37,47,26,18,11,7,47,58,37,21,10,11,55,53,58,11,5,6,29,26,32,18,21,16,50,63,37,32,16,47,4.87,5.21,4.53,2.84,3.21,2.47,79,74,57,45,34,18,11,11,1.40,1.47,1.34,1.34,1.22,1.45,37,3,4,5,2,8,3,5,1,11,7,4,5,6,6,6,5,5,11,29,32,26,45,37,53,3
Club Atlético de Madrid,Atlético Madrid,2024/2025,Spain,38,19,19,0,22,14,8,10,4,6,6,1,5,2,2.42,1.58,3,2,5,3,68,30,38,98,57,41,42,26,15,15,27,11,50,41,66,114,114,114,17,10,7,17,9,8,6,1,5,22,12,10,190,111,79,81,41,40,53,52,53,452,261,191,219,131,88,233,130,103,412,197,215,27,16,11,13,6,7,14,10,4,14,9,5,16,6,10,8,4,4,1.53,1.74,1.32,2.58,3,2.16,1.79,2.21,1.37,0.79,0.79,0.79,1.05,1.16,0.95,0.71,0.84,0.58,0.34,0.32,0.37,36,27,17,9,5,3,18,15,10,6,4,3,18,12,7,3,1,0,2,11,21,29,33,35,1,4,9,13,15,16,1,7,12,16,18,19,95,71,45,24,13,8,95,79,53,32,21,16,95,63,37,16,5,0,5,29,55,76,87,92,5,21,47,68,79,84,5,37,63,84,95,100,24,9,5,13,5,3,11,4,2,63,24,13,68,26,16,58,21,11,58,74,42,0,45,53,37,45,47,42,16,5,26,58,63,53,27,14,13,71,74,68,21,9,12,55,47,63,4,2,2,11,11,11,37,47,26,42,32,53,21,21,21,5.00,5.84,4.16,2.13,2.16,2.11,79,68,50,39,26,16,11,8,1.51,1.74,1.29,1.25,1.07,1.44,58,6,3,7,7,6,5,7,7,20,3,2,4,4,2,2,3,3,7,26,21,32,16,5,26,0
UD Las Palmas,UD Las Palmas,2024/2025,Spain,38,19,19,0,8,4,4,8,5,3,22,10,12,0.84,0.89,0.79,19,19,17,19,40,61,-21,101,50,51,21,19,29,32,-8,-13,86,81,90,56,59,54,4,3,1,24,12,12,11,4,7,10,6,4,160,99,61,115,55,60,51,53,48,391,228,163,180,97,83,211,131,80,453,235,218,11,6,5,25,10,15,-14,-4,-10,4,2,2,20,12,8,14,5,9,0.84,0.95,0.74,2.66,2.63,2.68,1.05,1.11,1,1.61,1.53,1.68,0.95,0.84,1.05,0.29,0.32,0.26,0.66,0.53,0.79,37,28,19,12,5,0,19,13,9,6,3,0,18,15,10,6,2,0,1,10,19,26,33,38,0,6,10,13,16,19,1,4,9,13,17,19,97,74,50,32,13,0,100,68,47,32,16,0,95,79,53,32,11,0,3,26,50,68,87,100,0,32,53,68,84,100,5,21,47,68,89,100,24,9,2,11,5,0,13,4,2,63,24,5,58,26,0,68,21,11,21,21,21,6,11,16,5,63,63,63,29,21,37,26,32,21,18,10,8,47,53,42,27,13,14,71,68,74,7,4,3,18,21,16,11,11,11,53,63,42,37,26,47,4.21,5.21,3.21,3.03,2.89,3.16,74,68,55,42,34,26,21,16,1.25,1.43,1.06,1.62,1.38,1.86,61,4,1,1,0,8,4,7,3,12,8,3,5,5,5,8,12,5,10,21,26,16,58,53,63,8
Deportivo Alavés,Deportivo Alavés,2024/2025,Spain,38,19,19,0,10,6,4,12,6,6,16,7,9,1.11,1.26,0.95,14,15,12,14,38,48,-10,86,31,55,14,24,17,31,-3,-7,90,122,71,71,101,55,9,7,2,18,6,12,13,8,5,17,9,8,182,110,72,113,56,57,45,46,44,377,186,191,170,85,85,207,101,106,623,289,334,16,5,11,19,8,11,-3,-3,0,10,4,6,18,10,8,10,5,5,1.26,1.16,1.37,2.26,1.63,2.89,1,0.74,1.26,1.26,0.89,1.63,0.92,0.68,1.16,0.42,0.26,0.58,0.5,0.42,0.58,36,23,14,8,4,1,17,9,3,1,1,0,19,14,11,7,3,1,2,15,24,30,34,37,2,10,16,18,18,19,0,5,8,12,16,18,95,61,37,21,11,3,89,47,16,5,5,0,100,74,58,37,16,5,5,39,63,79,89,97,11,53,84,95,95,100,0,26,42,63,84,95,25,8,2,10,2,1,15,6,1,66,21,5,53,11,5,79,32,5,26,32,21,2,24,37,11,47,32,63,34,42,26,45,47,42,23,13,10,61,68,53,22,14,8,58,74,42,6,1,5,16,5,26,26,21,32,47,53,42,26,26,26,4.79,5.79,3.79,2.97,2.95,3.00,82,71,55,39,39,24,18,13,1.25,1.26,1.24,1.30,1.22,1.38,47,7,5,1,1,3,2,8,5,6,6,2,3,6,3,4,7,5,12,32,32,32,42,37,47,3
CD Leganés,Leganés,2024/2025,Spain,38,19,19,0,9,7,2,13,4,9,16,8,8,1.05,1.32,0.79,18,14,16,18,39,56,-17,95,50,45,23,16,27,29,-4,-13,87,74,107,61,63,59,11,6,5,17,7,10,14,7,7,18,10,8,113,51,62,94,47,47,42,44,41,355,175,180,153,72,81,202,103,99,503,258,245,22,11,11,20,6,14,2,5,-3,9,4,5,21,12,9,8,3,5,1.26,1.26,1.26,2.5,2.63,2.37,1.03,1.21,0.84,1.47,1.42,1.53,1.11,0.89,1.32,0.58,0.58,0.58,0.53,0.32,0.74,34,26,16,8,6,3,18,12,9,4,4,2,16,14,7,4,2,1,4,12,22,30,32,35,1,7,10,15,15,17,3,5,12,15,17,18,89,68,42,21,16,8,95,63,47,21,21,11,84,74,37,21,11,5,11,32,58,79,84,92,5,37,53,79,79,89,16,26,63,79,89,95,21,12,7,8,5,3,13,7,4,55,32,18,42,26,16,68,37,21,24,37,11,10,29,32,26,45,37,53,37,37,37,47,53,42,24,14,10,63,74,53,24,14,10,63,74,53,7,2,5,18,11,26,24,21,26,55,63,47,21,16,26,2.97,2.68,3.26,2.47,2.47,2.47,79,71,57,53,34,18,5,5,1.11,1.08,1.13,1.65,1.50,1.80,47,5,2,4,7,5,2,2,5,7,2,3,6,3,11,1,8,10,12,34,21,47,42,42,42,5
Real Club Celta de Vigo,Celta de Vigo,2024/2025,Spain,38,19,19,0,16,11,5,7,3,4,15,5,10,1.45,1.89,1,7,5,10,7,59,57,2,116,53,63,32,27,21,36,11,-9,58,54,63,60,81,48,8,5,3,26,12,14,4,2,2,15,9,6,149,85,64,90,44,46,54,54,53,433,237,196,220,121,99,213,116,97,462,234,228,25,14,11,28,12,16,-3,2,-5,11,8,3,13,4,9,14,7,7,1.21,1.47,0.95,3.05,2.79,3.32,1.55,1.68,1.42,1.5,1.11,1.89,1.39,1.37,1.42,0.66,0.74,0.58,0.74,0.63,0.84,38,31,24,13,6,2,19,16,11,5,2,0,19,15,13,8,4,2,0,7,14,25,32,36,0,3,8,14,17,19,0,4,6,11,15,17,100,82,63,34,16,5,100,84,58,26,11,0,100,79,68,42,21,11,0,18,37,66,84,95,0,16,42,74,89,100,0,21,32,58,79,89,31,16,6,16,7,3,15,9,3,82,42,16,84,37,16,79,47,16,42,58,26,17,21,26,16,68,63,74,11,11,11,39,47,32,15,9,6,39,47,32,18,9,9,47,47,47,12,4,8,32,21,42,29,42,16,34,21,47,37,37,37,3.92,4.47,3.37,2.37,2.32,2.42,68,50,39,24,21,8,8,5,1.45,1.56,1.34,1.27,1.18,1.36,74,2,4,9,5,5,6,10,5,13,4,9,5,6,7,3,12,3,8,18,16,21,39,26,53,5
Real Betis Balompié,Real Betis,2024/2025,Spain,38,19,19,0,16,9,7,12,7,5,10,3,7,1.58,1.79,1.37,6,8,7,6,57,50,7,107,53,54,32,25,21,29,11,-4,60,54,68,68,81,59,7,5,2,27,14,13,5,0,5,21,14,7,197,103,94,84,40,44,53,56,49,514,290,224,227,121,106,287,169,118,433,199,234,25,14,11,21,9,12,4,5,-1,11,6,5,21,12,9,6,1,5,1.42,1.58,1.26,2.82,2.79,2.84,1.5,1.68,1.32,1.32,1.11,1.53,1.21,1.21,1.21,0.66,0.74,0.58,0.55,0.47,0.63,37,31,21,11,5,2,19,16,11,5,1,1,18,15,10,6,4,1,1,7,17,27,33,36,0,3,8,14,18,18,1,4,9,13,15,18,97,82,55,29,13,5,100,84,58,26,5,5,95,79,53,32,21,5,3,18,45,71,87,95,0,16,42,74,95,95,5,21,47,68,79,95,26,17,3,13,8,2,13,9,1,68,45,8,68,42,11,68,47,5,42,47,37,14,18,26,11,71,74,68,13,0,26,55,74,37,21,10,11,55,53,58,18,7,11,47,37,58,11,8,3,29,42,16,29,32,26,55,63,47,16,5,26,5.18,5.42,4.95,2.21,2.11,2.32,79,76,66,61,37,26,11,5,1.62,1.82,1.43,1.32,1.10,1.53,66,7,5,3,6,5,4,12,5,10,6,4,3,4,7,6,5,6,9,32,37,26,26,16,37,5
