team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
AS Monaco FC,Monaco,2024/2025,Monaco,34,17,17,0,18,12,6,7,3,4,9,2,7,1.79,2.29,1.29,3,2,9,3,63,41,22,104,54,50,38,25,16,25,22,0,49,40,61,74,96,61,11,7,4,21,9,12,5,3,2,19,10,9,184,81,103,65,32,33,55,56,55,462,239,223,223,118,105,239,121,118,457,219,238,23,12,11,19,9,10,4,3,1,11,5,6,13,8,5,10,4,6,1.35,1.35,1.35,3.06,3.18,2.94,1.85,2.24,1.47,1.21,0.94,1.47,1.24,1.24,1.24,0.68,0.71,0.65,0.56,0.53,0.59,31,29,22,11,6,3,15,13,10,6,5,3,16,16,12,5,1,0,3,5,12,23,28,31,2,4,7,11,12,14,1,1,5,12,16,17,91,85,65,32,18,9,88,76,59,35,29,18,94,94,71,29,6,0,9,15,35,68,82,91,12,24,41,65,71,82,6,6,29,71,94,100,26,12,4,12,7,2,14,5,2,76,35,12,71,41,12,82,29,12,53,71,35,22,32,41,24,62,53,71,15,18,12,56,59,53,17,9,8,50,53,47,16,8,8,47,47,47,9,5,4,26,29,24,32,29,35,38,47,29,29,24,35,5.41,4.76,6.06,1.91,1.88,1.94,79,71,53,35,24,15,12,12,1.69,1.75,1.64,1.28,1.25,1.32,100,5,3,4,7,6,11,11,5,11,2,3,7,1,8,5,3,3,9,21,18,24,26,12,41,3
Olympique Lyonnais,Olympique Lyonnais,2024/2025,France,34,17,17,0,17,11,6,6,2,4,11,4,7,1.68,2.06,1.29,6,5,8,6,65,46,19,111,58,53,37,28,21,25,16,3,47,41,55,67,73,61,10,6,4,21,10,11,5,2,3,18,10,8,185,94,91,61,29,32,57,58,55,406,229,177,219,121,98,187,108,79,406,205,201,22,14,8,17,7,10,5,7,-2,10,6,4,17,9,8,7,2,5,1.38,1.59,1.18,3.26,3.41,3.12,1.91,2.18,1.65,1.35,1.24,1.47,1.15,1.24,1.06,0.65,0.82,0.47,0.5,0.41,0.59,32,30,22,14,9,3,16,14,11,8,6,2,16,16,11,6,3,1,2,4,12,20,25,31,1,3,6,9,11,15,1,1,6,11,14,16,94,88,65,41,26,9,94,82,65,47,35,12,94,94,65,35,18,6,6,12,35,59,74,91,6,18,35,53,65,88,6,6,35,65,82,94,22,11,5,11,6,3,11,5,2,65,32,15,65,35,18,65,29,12,50,65,35,11,29,35,24,62,59,65,15,12,18,53,59,47,21,11,10,62,65,59,16,7,9,47,41,53,9,5,4,26,29,24,29,35,24,50,53,47,21,12,29,5.44,5.53,5.35,1.79,1.71,1.88,88,79,71,56,47,32,26,12,1.58,1.76,1.39,1.55,1.50,1.60,94,4,0,7,6,6,8,8,11,15,5,5,4,2,4,6,7,4,9,18,12,24,32,24,41,6
Paris Saint-Germain FC,PSG,2024/2025,France,34,17,17,0,26,14,12,6,2,4,2,1,1,2.47,2.59,2.35,1,1,1,1,92,35,57,127,61,66,45,47,16,19,29,28,33,34,33,87,96,80,7,4,3,27,13,14,1,0,1,25,14,11,216,121,95,37,19,18,68,68,69,613,338,275,319,164,155,294,174,120,305,146,159,37,21,16,12,6,6,25,15,10,19,10,9,10,6,4,5,1,4,1.97,2.12,1.82,3.74,3.59,3.88,2.71,2.65,2.76,1.03,0.94,1.12,1.44,1.59,1.29,1.09,1.24,0.94,0.35,0.35,0.35,33,30,25,19,12,6,17,15,13,10,4,2,16,15,12,9,8,4,1,4,9,15,22,28,0,2,4,7,13,15,1,2,5,8,9,13,97,88,74,56,35,18,100,88,76,59,24,12,94,88,71,53,47,24,3,12,26,44,65,82,0,12,24,41,76,88,6,12,29,47,53,76,29,14,4,15,9,2,14,5,2,85,41,12,88,53,12,82,29,12,76,82,71,4,21,24,18,79,76,82,3,0,6,74,82,65,23,11,12,68,65,71,10,3,7,29,18,41,6,5,1,18,29,6,56,59,53,29,35,24,15,6,24,6.35,7.12,5.59,1.09,1.12,1.06,85,74,65,53,28,24,12,12,2.30,2.47,2.13,1.10,1.01,1.18,132,9,6,9,7,13,16,9,3,20,2,2,2,5,4,7,3,4,6,18,12,24,6,6,6,9
AS Saint-Étienne,Saint-Étienne,2024/2025,France,34,17,17,0,8,6,2,6,3,3,20,8,12,0.88,1.24,0.53,17,13,17,17,39,77,-38,116,57,59,24,15,33,44,-9,-29,78,64,102,40,46,35,5,3,2,19,10,9,10,4,6,11,6,5,135,71,64,70,35,35,47,49,45,368,217,151,150,82,68,218,135,83,450,222,228,17,9,8,37,15,22,-20,-6,-14,5,3,2,11,5,6,18,9,9,0.76,0.82,0.71,3.41,3.35,3.47,1.15,1.41,0.88,2.26,1.94,2.59,1.59,1.41,1.76,0.5,0.53,0.47,1.09,0.88,1.29,34,29,19,16,9,6,17,15,9,8,4,3,17,14,10,8,5,3,0,5,15,18,25,28,0,2,8,9,13,14,0,3,7,9,12,14,100,85,56,47,26,18,100,88,53,47,24,18,100,82,59,47,29,18,0,15,44,53,74,82,0,12,47,53,76,82,0,18,41,53,71,82,29,15,5,14,5,3,15,10,2,85,44,15,82,29,18,88,59,12,24,35,12,19,15,18,12,56,59,53,29,24,35,32,35,29,10,6,4,29,35,24,19,9,10,56,53,59,10,5,5,29,29,29,15,18,12,32,29,35,53,53,53,3.97,4.18,3.76,2.06,2.06,2.06,82,71,68,41,35,28,26,18,1.31,1.49,1.12,1.89,1.69,2.10,109,6,5,0,4,4,8,5,5,2,11,7,8,7,7,8,11,10,8,18,18,18,59,47,71,12
Montpellier HSC,Montpellier,2024/2025,France,34,17,17,0,4,3,1,4,4,0,26,10,16,0.47,0.76,0.18,18,17,18,18,23,79,-56,102,58,44,17,6,41,38,-24,-32,132,90,257,39,37,40,1,1,0,14,10,4,20,7,13,2,1,1,159,91,68,97,53,44,45,46,44,371,203,168,157,97,60,214,106,108,427,213,214,8,6,2,37,21,16,-29,-15,-14,1,1,0,11,4,7,22,12,10,0.41,0.41,0.41,3,3.41,2.59,0.68,1,0.35,2.32,2.41,2.24,1.32,1.59,1.06,0.24,0.35,0.12,1.09,1.24,0.94,33,27,19,13,7,3,16,16,12,10,4,0,17,11,7,3,3,3,1,7,15,21,27,31,1,1,5,7,13,17,0,6,10,14,14,14,97,79,56,38,21,9,94,94,71,59,24,0,100,65,41,18,18,18,3,21,44,62,79,91,6,6,29,41,76,100,0,35,59,82,82,82,26,14,5,15,8,4,11,6,1,76,41,15,88,47,24,65,35,6,12,18,6,22,3,6,0,41,59,24,59,41,76,6,6,6,9,3,6,26,18,35,27,12,15,79,71,88,6,4,2,18,24,12,3,6,0,32,24,41,65,71,59,4.68,5.35,4.00,2.85,3.12,2.59,91,82,65,47,32,24,18,12,1.32,1.51,1.14,1.77,1.65,1.90,74,1,2,2,2,1,1,5,3,6,10,5,9,8,10,14,7,6,10,12,24,0,76,59,94,12
Toulouse FC,Toulouse,2024/2025,France,34,17,17,0,11,5,6,9,5,4,14,7,7,1.24,1.18,1.29,10,14,7,10,44,43,1,87,42,45,20,24,22,21,-2,3,70,76,64,71,70,73,10,4,6,19,12,7,8,2,6,15,7,8,163,89,74,62,28,34,45,47,42,397,200,197,191,98,93,206,102,104,419,217,202,17,6,11,17,12,5,0,-6,6,8,2,6,16,8,8,10,7,3,1.18,0.82,1.53,2.56,2.47,2.65,1.29,1.18,1.41,1.26,1.29,1.24,1,1.06,0.94,0.5,0.35,0.65,0.5,0.71,0.29,31,27,17,7,4,1,16,14,8,2,1,1,15,13,9,5,3,0,3,7,17,27,30,33,1,3,9,15,16,16,2,4,8,12,14,17,91,79,50,21,12,3,94,82,47,12,6,6,88,76,53,29,18,0,9,21,50,79,88,97,6,18,53,88,94,94,12,24,47,71,82,100,20,10,4,10,6,2,10,4,2,59,29,12,59,35,12,59,24,12,32,29,35,-6,29,24,35,56,71,41,24,12,35,44,41,47,21,9,12,62,53,71,22,12,10,65,71,59,5,3,2,15,18,12,24,12,35,47,47,47,29,41,18,4.79,5.24,4.35,1.82,1.65,2.00,76,65,38,32,26,21,18,3,1.44,1.49,1.40,1.25,1.13,1.37,76,5,3,4,4,2,6,5,6,9,1,5,7,3,3,8,7,2,7,26,29,24,41,41,41,3
FC Nantes,Nantes,2024/2025,France,34,17,17,0,8,5,3,12,6,6,14,6,8,1.06,1.24,0.88,13,12,15,13,39,52,-13,91,37,54,19,20,18,34,1,-14,78,80,76,59,85,45,6,5,1,22,8,14,8,5,3,15,9,6,143,83,60,79,40,39,40,44,36,329,190,139,162,85,77,167,105,62,413,215,198,19,8,11,23,6,17,-4,2,-6,8,5,3,14,8,6,12,4,8,1.12,1.35,0.88,2.68,2.18,3.18,1.15,1.12,1.18,1.53,1.06,2,1.24,0.82,1.65,0.56,0.47,0.65,0.68,0.35,1,32,28,15,9,4,1,16,12,6,3,0,0,16,16,9,6,4,1,2,6,19,25,30,33,1,5,11,14,17,17,1,1,8,11,13,16,94,82,44,26,12,3,94,71,35,18,0,0,94,94,53,35,24,6,6,18,56,74,88,97,6,29,65,82,100,100,6,6,47,65,76,94,26,12,4,11,3,0,15,9,4,76,35,12,65,18,0,88,53,24,24,29,18,14,18,29,6,65,47,82,24,29,18,44,53,35,14,11,3,41,65,18,18,10,8,53,59,47,10,2,8,29,12,47,24,29,18,41,47,35,35,24,47,4.21,4.88,3.53,2.32,2.35,2.29,91,82,74,62,50,47,24,18,1.24,1.41,1.06,1.57,1.32,1.82,76,2,6,3,6,6,2,4,2,8,4,3,9,3,5,7,4,6,11,35,35,35,41,35,47,12
Lille OSC Métropole,Lille,2024/2025,France,34,17,17,0,17,11,6,9,4,5,8,2,6,1.76,2.18,1.35,5,4,4,5,52,36,16,88,49,39,31,21,18,18,13,3,59,49,73,85,85,85,11,4,7,20,13,7,5,0,5,21,11,10,168,86,82,79,31,48,58,58,57,405,219,186,196,107,89,209,112,97,410,200,210,25,15,10,19,9,10,6,6,0,15,9,6,11,4,7,8,4,4,1.65,1.82,1.47,2.59,2.88,2.29,1.53,1.82,1.24,1.06,1.06,1.06,1.29,1.41,1.18,0.74,0.88,0.59,0.56,0.53,0.59,32,27,17,8,3,1,17,14,10,5,2,1,15,13,7,3,1,0,2,7,17,26,31,33,0,3,7,12,15,16,2,4,10,14,16,17,94,79,50,24,9,3,100,82,59,29,12,6,88,76,41,18,6,0,6,21,50,76,91,97,0,18,41,71,88,94,12,24,59,82,94,100,27,11,4,15,6,2,12,5,2,79,32,12,88,35,12,71,29,12,50,65,35,0,32,24,41,59,76,41,15,0,29,62,65,59,20,10,10,59,59,59,15,6,9,44,35,53,6,3,3,18,18,18,44,53,35,32,24,41,24,24,24,4.94,5.06,4.82,2.32,1.82,2.82,76,68,50,41,32,28,21,12,1.55,1.65,1.46,1.22,1.14,1.30,59,4,4,4,5,11,2,4,8,10,3,1,4,6,6,4,5,1,6,26,24,29,24,12,35,6
Stade Rennais FC,Rennes,2024/2025,France,34,17,17,0,13,9,4,2,1,1,19,7,12,1.21,1.65,0.76,12,9,16,12,51,50,1,101,42,59,25,26,17,33,8,-7,60,61,59,61,90,46,11,8,3,16,6,10,7,3,4,17,11,6,170,98,72,71,33,38,51,53,49,413,227,186,204,103,101,209,124,85,445,218,227,23,13,10,25,7,18,-2,6,-8,12,8,4,10,5,5,12,4,8,1.35,1.71,1,2.97,2.47,3.47,1.5,1.47,1.53,1.47,1,1.94,1.41,1.18,1.65,0.68,0.76,0.59,0.74,0.41,1.06,34,27,20,11,7,2,17,13,8,2,2,0,17,14,12,9,5,2,0,7,14,23,27,32,0,4,9,15,15,17,0,3,5,8,12,15,100,79,59,32,21,6,100,76,47,12,12,0,100,82,71,53,29,12,0,21,41,68,79,94,0,24,53,88,88,100,0,18,29,47,71,88,27,13,5,13,6,1,14,7,4,79,38,15,76,35,6,82,41,24,38,53,24,15,32,47,18,47,35,59,21,18,24,50,65,35,18,12,6,53,71,35,16,7,9,47,41,53,7,2,5,21,12,29,35,47,24,29,29,29,35,24,47,5.00,5.76,4.24,2.09,1.94,2.24,74,59,47,41,32,18,12,9,1.56,1.67,1.45,1.36,1.13,1.60,71,2,9,6,3,5,7,6,4,9,2,3,10,4,11,5,2,3,10,6,6,6,56,41,71,0
Olympique de Marseille,Olympique Marseille,2024/2025,France,34,17,17,0,20,10,10,5,4,1,9,3,6,1.91,2,1.82,2,7,2,2,74,47,27,121,64,57,41,33,23,24,18,9,41,37,46,65,67,64,5,2,3,23,13,10,6,2,4,19,10,9,176,89,87,68,40,28,63,64,63,469,256,213,235,130,105,234,126,108,378,214,164,26,15,11,21,11,10,5,4,1,12,8,4,12,5,7,10,4,6,1.41,1.71,1.12,3.56,3.76,3.35,2.18,2.41,1.94,1.38,1.35,1.41,1.38,1.53,1.24,0.76,0.88,0.65,0.62,0.65,0.59,34,32,23,17,10,5,17,16,11,9,7,4,17,16,12,8,3,1,0,2,11,17,24,29,0,1,6,8,10,13,0,1,5,9,14,16,100,94,68,50,29,15,100,94,65,53,41,24,100,94,71,47,18,6,0,6,32,50,71,85,0,6,35,47,59,76,0,6,29,53,82,94,25,12,7,13,6,5,12,6,2,74,35,21,76,35,29,71,35,12,59,59,59,7,15,12,18,68,76,59,18,12,24,56,59,53,18,10,8,53,59,47,19,8,11,56,47,65,6,3,3,18,18,18,35,47,24,35,29,41,29,24,35,5.18,5.24,5.12,2,2.35,1.65,68,50,38,32,26,18,9,6,1.73,1.87,1.59,1.19,1.10,1.27,118,4,4,7,7,8,13,13,9,9,3,2,5,5,6,8,2,8,8,15,24,6,26,18,35,6
