team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SSC Napoli,Napoli,2024/2025,Italy,38,19,19,0,24,14,10,10,3,7,4,2,2,2.16,2.37,1.95,1,1,3,1,59,27,32,86,45,41,32,27,13,14,19,13,58,54,63,127,132,122,19,9,10,16,8,8,6,2,4,25,14,11,209,130,79,47,21,26,55,57,53,464,275,189,195,114,81,269,161,108,415,195,220,29,14,15,13,8,5,16,6,10,17,8,9,16,7,9,5,4,1,1.76,1.63,1.89,2.26,2.37,2.16,1.55,1.68,1.42,0.71,0.68,0.74,1.11,1.16,1.05,0.76,0.74,0.79,0.34,0.42,0.26,35,27,17,6,1,0,19,15,9,2,0,0,16,12,8,4,1,0,3,11,21,32,37,38,0,4,10,17,19,19,3,7,11,15,18,19,92,71,45,16,3,0,100,79,47,11,0,0,84,63,42,21,5,0,8,29,55,84,97,100,0,21,53,89,100,100,16,37,58,79,95,100,28,13,1,15,7,0,13,6,1,74,34,3,79,37,0,68,32,5,63,74,53,6,50,47,53,42,42,42,16,11,21,66,74,58,26,12,14,68,63,74,15,8,7,39,42,37,7,3,4,18,16,21,45,42,47,42,37,47,13,21,5,5.50,6.84,4.16,1.24,1.11,1.37,76,66,53,50,37,21,13,11,1.47,1.71,1.23,1.10,0.96,1.24,45,5,8,8,4,5,7,9,6,7,3,2,2,3,4,2,2,3,6,26,16,37,11,11,11,8
Juventus FC,Juventus,2024/2025,Italy,38,19,19,0,18,11,7,16,7,9,4,1,3,1.84,2.11,1.58,4,4,5,4,58,35,23,93,46,47,31,27,15,20,16,7,59,55,63,98,114,86,17,11,6,18,7,11,7,3,4,26,13,13,190,111,79,72,34,38,58,59,56,478,279,199,226,120,106,252,159,93,480,238,242,28,12,16,16,6,10,12,6,6,15,7,8,16,8,8,7,4,3,1.61,1.53,1.68,2.45,2.42,2.47,1.53,1.63,1.42,0.92,0.79,1.05,1.16,0.95,1.37,0.74,0.63,0.84,0.42,0.32,0.53,34,29,16,8,3,1,17,14,8,6,1,0,17,15,8,2,2,1,4,9,22,30,35,37,2,5,11,13,18,19,2,4,11,17,17,18,89,76,42,21,8,3,89,74,42,32,5,0,89,79,42,11,11,5,11,24,58,79,92,97,11,26,58,68,95,100,11,21,58,89,89,95,25,13,4,12,5,1,13,8,3,66,34,11,63,26,5,68,42,16,47,58,37,11,45,58,32,47,37,58,18,16,21,68,68,68,26,14,12,68,74,63,18,10,8,47,53,42,7,2,5,18,11,26,39,37,42,42,42,42,18,21,16,5.00,5.84,4.16,1.89,1.79,2.00,79,66,57,53,34,28,21,11,1.56,1.75,1.38,1.17,1.07,1.27,45,3,9,5,9,5,5,6,4,12,3,3,3,4,5,6,3,2,6,42,37,47,11,5,16,8
AS Roma,Roma,2024/2025,Italy,38,19,19,0,20,13,7,9,2,7,9,4,5,1.82,2.16,1.47,5,3,7,5,56,35,21,91,52,39,37,19,15,20,22,-1,61,46,90,98,114,86,16,8,8,18,9,9,6,2,4,20,11,9,170,83,87,66,29,37,54,55,53,481,247,234,214,111,103,267,136,131,404,189,215,22,13,9,17,9,8,5,4,1,12,7,5,17,6,11,9,6,3,1.39,1.42,1.37,2.39,2.74,2.05,1.47,1.95,1,0.92,0.79,1.05,1.03,1.16,0.89,0.58,0.68,0.47,0.45,0.47,0.42,36,25,15,9,5,1,19,14,10,6,3,0,17,11,5,3,2,1,2,13,23,29,33,37,0,5,9,13,16,19,2,8,14,16,17,18,95,66,39,24,13,3,100,74,53,32,16,0,89,58,26,16,11,5,5,34,61,76,87,97,0,26,47,68,84,100,11,42,74,84,89,95,26,10,2,16,6,0,10,4,2,68,26,5,84,32,0,53,21,11,53,68,37,24,42,42,42,47,47,47,16,11,21,53,58,47,24,10,14,63,53,74,19,9,10,50,47,53,7,3,4,18,16,21,32,37,26,45,32,58,24,32,16,4.47,4.37,4.58,1.74,1.53,1.95,71,63,53,39,26,13,11,5,1.51,1.56,1.47,1.32,1.19,1.44,55,5,7,4,5,4,8,8,7,8,2,3,2,6,5,3,6,3,5,24,11,37,24,21,26,5
Cagliari Calcio,Cagliari,2024/2025,Italy,38,19,19,0,9,6,3,9,4,5,20,9,11,0.95,1.16,0.74,16,14,18,16,40,56,-16,96,52,44,24,16,28,28,-4,-12,86,71,107,61,61,61,7,4,3,19,9,10,15,7,8,14,9,5,181,109,72,69,24,45,45,45,44,385,235,150,154,88,66,231,147,84,503,248,255,15,8,7,25,11,14,-10,-3,-7,6,3,3,16,9,7,16,7,9,0.89,0.95,0.84,2.53,2.74,2.32,1.05,1.26,0.84,1.47,1.47,1.47,1.05,1,1.11,0.39,0.42,0.37,0.66,0.58,0.74,35,29,19,8,4,1,18,15,11,4,3,1,17,14,8,4,1,0,3,9,19,30,34,37,1,4,8,15,16,18,2,5,11,15,18,19,92,76,50,21,11,3,95,79,58,21,16,5,89,74,42,21,5,0,8,24,50,79,89,97,5,21,42,79,84,95,11,26,58,79,95,100,28,10,2,13,5,1,15,5,1,74,26,5,68,26,5,79,26,5,24,32,16,0,18,21,16,50,47,53,39,37,42,37,47,26,16,9,7,42,47,37,24,12,12,63,63,63,8,4,4,21,21,21,16,16,16,42,47,37,42,37,47,4.76,5.74,3.79,1.82,1.26,2.37,82,71,61,50,39,24,18,16,1.20,1.41,0.98,1.47,1.34,1.60,61,3,2,4,3,5,6,2,8,7,3,6,4,7,9,9,10,6,2,24,21,26,53,47,58,8
Torino FC,Torino,2024/2025,Italy,38,19,19,0,10,6,4,14,7,7,14,6,8,1.16,1.32,1,11,11,14,11,39,45,-6,84,35,49,17,22,18,27,-1,-5,87,101,78,76,95,63,10,6,4,18,8,10,13,7,6,13,7,6,158,87,71,84,34,50,48,49,47,367,200,167,161,79,82,206,121,85,466,234,232,15,6,9,21,8,13,-6,-2,-4,8,4,4,17,9,8,13,6,7,1.08,1.11,1.05,2.21,1.84,2.58,1.03,0.89,1.16,1.18,0.95,1.42,0.95,0.74,1.16,0.39,0.32,0.47,0.55,0.42,0.68,35,26,10,8,5,0,17,13,3,1,1,0,18,13,7,7,4,0,3,12,28,30,33,38,2,6,16,18,18,19,1,6,12,12,15,19,92,68,26,21,13,0,89,68,16,5,5,0,95,68,37,37,21,0,8,32,74,79,87,100,11,32,84,95,95,100,5,32,63,63,79,100,26,8,2,12,2,0,14,6,2,68,21,5,63,11,0,74,32,11,26,32,21,3,26,32,21,47,42,53,34,37,32,34,37,32,19,11,8,50,58,42,24,13,11,63,68,58,7,2,5,18,11,26,21,21,21,45,47,42,34,32,37,4.16,4.58,3.74,2.21,1.79,2.63,74,66,55,50,34,18,16,16,1.18,1.26,1.11,1.53,1.55,1.52,42,3,1,1,6,5,3,10,5,5,3,6,2,7,6,5,4,5,7,37,37,37,37,32,42,13
Empoli FC,Empoli,2024/2025,Italy,38,19,19,0,6,2,4,13,7,6,19,10,9,0.82,0.68,0.95,18,19,15,18,33,59,-26,92,36,56,10,23,26,33,-16,-10,103,170,74,58,66,52,6,5,1,21,7,14,15,11,4,14,5,9,170,84,86,75,31,44,41,43,40,346,161,185,147,72,75,199,89,110,553,244,309,18,4,14,22,9,13,-4,-5,1,9,2,7,19,13,6,10,4,6,1.21,1,1.42,2.42,1.89,2.95,0.87,0.53,1.21,1.55,1.37,1.74,1.05,0.68,1.42,0.47,0.21,0.74,0.58,0.47,0.68,34,28,18,8,4,0,15,10,7,3,1,0,19,18,11,5,3,0,4,10,20,30,34,38,4,9,12,16,18,19,0,1,8,14,16,19,89,74,47,21,11,0,79,53,37,16,5,0,100,95,58,26,16,0,11,26,53,79,89,100,21,47,63,84,95,100,0,5,42,74,84,100,24,11,3,8,4,1,16,7,2,63,29,8,42,21,5,84,37,11,16,11,21,-14,16,26,5,55,37,74,39,58,21,37,26,47,22,13,9,58,68,47,23,15,8,61,79,42,7,2,5,18,11,26,24,11,37,50,68,32,26,21,32,4.47,4.42,4.53,1.97,1.63,2.32,84,74,66,50,32,26,21,16,1.10,1.06,1.14,1.45,1.27,1.64,68,3,4,2,6,7,5,1,2,3,7,4,3,3,7,3,14,9,9,34,37,32,50,53,47,3
Genoa CFC,Genoa,2024/2025,Italy,38,19,19,0,10,5,5,13,7,6,15,7,8,1.13,1.16,1.11,13,13,10,13,37,49,-12,86,46,40,21,16,25,24,-4,-8,93,81,107,70,68,71,11,5,6,18,10,8,13,5,8,13,8,5,155,88,67,73,37,36,46,47,45,365,206,159,161,97,64,204,109,95,493,237,256,12,5,7,18,9,9,-6,-4,-2,5,2,3,21,11,10,12,6,6,0.95,0.89,1,2.26,2.42,2.11,0.97,1.11,0.84,1.29,1.32,1.26,0.79,0.74,0.84,0.32,0.26,0.37,0.47,0.47,0.47,34,26,15,8,2,1,18,15,8,4,1,0,16,11,7,4,1,1,4,12,23,30,36,37,1,4,11,15,18,19,3,8,12,15,18,18,89,68,39,21,5,3,95,79,42,21,5,0,84,58,37,21,5,5,11,32,61,79,95,97,5,21,58,79,95,100,16,42,63,79,95,95,21,8,1,10,4,0,11,4,1,55,21,3,53,21,0,58,21,5,26,26,26,6,29,26,32,47,53,42,34,26,42,34,42,26,22,11,11,58,58,58,29,15,14,76,79,74,4,2,2,11,11,11,13,11,16,55,58,53,32,32,32,4.08,4.63,3.53,1.92,1.95,1.89,82,71,55,42,37,24,24,16,1.17,1.33,1.01,1.44,1.34,1.53,50,0,5,1,3,5,4,6,3,10,2,4,7,4,4,6,7,8,7,34,37,32,39,37,42,8
AC Milan,AC Milan,2024/2025,Italy,38,19,19,0,18,9,9,9,7,2,11,3,8,1.66,1.79,1.53,8,7,6,8,61,43,18,104,46,58,30,31,16,27,14,4,56,57,55,80,107,63,13,8,5,22,9,13,5,4,1,17,9,8,217,114,103,80,38,42,54,54,54,522,265,257,233,113,120,289,152,137,412,200,212,25,14,11,19,9,10,6,5,1,11,5,6,17,9,8,10,5,5,1.32,1.26,1.37,2.74,2.42,3.05,1.61,1.58,1.63,1.13,0.84,1.42,1.16,1.21,1.11,0.66,0.74,0.58,0.5,0.47,0.53,36,31,23,10,3,1,17,14,9,5,1,0,19,17,14,5,2,1,2,7,15,28,35,37,2,5,10,14,18,19,0,2,5,14,17,18,95,82,61,26,8,3,89,74,47,26,5,0,100,89,74,26,11,5,5,18,39,74,92,97,11,26,53,74,95,100,0,11,26,74,89,95,26,13,4,12,7,3,14,6,1,68,34,11,63,37,16,74,32,5,47,47,47,12,34,42,26,58,47,68,13,21,5,45,47,42,22,12,10,58,63,53,21,11,10,55,58,53,7,3,4,18,16,21,29,26,32,45,47,42,26,26,26,5.71,6.00,5.42,2.11,2,2.21,87,76,63,53,42,24,11,11,1.64,1.68,1.59,1.33,1.27,1.39,84,4,5,4,4,8,4,7,14,11,9,2,5,2,3,6,6,4,6,24,37,11,29,16,42,11
SS Lazio,Lazio,2024/2025,Italy,38,19,19,0,18,7,11,11,9,2,9,3,6,1.71,1.58,1.84,7,9,4,7,61,49,12,110,59,51,33,28,26,23,7,5,56,52,61,70,66,74,9,2,7,24,15,9,6,2,4,22,10,12,229,120,109,101,48,53,55,56,54,508,275,233,235,121,114,273,154,119,414,206,208,24,12,12,19,13,6,5,-1,6,16,6,10,12,8,4,10,5,5,1.58,1.37,1.79,2.89,3.11,2.68,1.61,1.74,1.47,1.29,1.37,1.21,1.13,1.32,0.95,0.63,0.63,0.63,0.5,0.68,0.32,37,31,23,11,5,3,19,18,12,6,2,2,18,13,11,5,3,1,1,7,15,27,33,35,0,1,7,13,17,17,1,6,8,14,16,18,97,82,61,29,13,8,100,95,63,32,11,11,95,68,58,26,16,5,3,18,39,71,87,92,0,5,37,68,89,89,5,32,42,74,84,95,30,11,2,15,8,2,15,3,0,79,29,5,79,42,11,79,16,0,47,37,58,1,24,11,37,63,79,47,16,11,21,58,53,63,22,8,14,58,42,74,18,9,9,47,47,47,6,6,0,16,32,0,42,32,53,32,42,21,26,26,26,6.03,6.32,5.74,2.66,2.53,2.79,82,82,61,50,50,45,34,26,1.63,1.75,1.51,1.20,1.03,1.37,79,6,2,5,6,6,5,6,8,17,7,6,1,0,11,6,3,5,10,29,47,11,24,16,32,16
Atalanta Bergamasca Calcio,Atalanta,2024/2025,Italy,38,19,19,0,22,9,13,8,5,3,8,5,3,1.95,1.68,2.21,3,8,1,3,78,37,41,115,60,55,36,42,24,13,12,29,44,48,41,93,71,132,15,4,11,19,13,6,7,4,3,22,10,12,194,108,86,67,27,40,55,58,53,515,265,250,222,118,104,293,147,146,437,208,229,38,20,18,18,11,7,20,9,11,15,7,8,15,9,6,8,3,5,1.58,1.58,1.58,3.03,3.16,2.89,2.05,1.89,2.21,0.97,1.26,0.68,1.47,1.63,1.32,1,1.05,0.95,0.47,0.58,0.37,35,31,21,15,10,2,17,16,10,7,7,2,18,15,11,8,3,0,3,7,17,23,28,36,2,3,9,12,12,17,1,4,8,11,16,19,92,82,55,39,26,5,89,84,53,37,37,11,95,79,58,42,16,0,8,18,45,61,74,95,11,16,47,63,63,89,5,21,42,58,84,100,27,17,6,13,9,4,14,8,2,71,45,16,68,47,21,74,42,11,58,47,68,-19,39,21,58,50,68,32,18,21,16,58,53,63,23,10,13,61,53,68,18,8,10,47,42,53,8,7,1,21,37,5,39,37,42,39,47,32,21,16,26,5.11,5.68,4.53,1.76,1.42,2.11,79,53,39,24,16,11,8,8,1.69,1.79,1.58,1.25,1.17,1.34,82,7,5,10,10,11,9,9,7,10,2,2,5,6,9,8,0,2,3,21,26,16,21,26,16,8
